job_title,job_date,job_views
中国电子科技集团公司第十一研究所招聘,2021-12-23,175
南科大电子与电气工程系张宏课题组高薪诚聘博士后,2021-12-23,86
淮阴工学院2021年人才招聘政策及计划,2021-12-22,118
不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,2021-12-22,107
中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,2021-12-22,174
中铁信托博士后创新实践基地2022年招收博士后研究人员招收简章,2021-12-22,98
北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告,2021-12-22,126
嘉应学院2022年人才招聘启事,2021-12-22,81
重庆工程学院2022年高层次人才招聘简章,2021-12-22,108
重庆邮电大学2022年招聘启事,2021-12-22,116
中国热带农业科学院南亚热带作物研究所 湛江实验站 2022年第一批公开招聘工作人员公告（第1号）,2021-12-22,59
2021下半年浙江农林大学招聘公告,2021-12-22,62
材料科学姑苏实验室博士后招聘公告,2021-12-22,59
浙江大学王绪化团队招聘博士后和科研助理,2021-12-22,54
福建工程学院2022年师资招聘计划,2021-12-22,68
2022安科瑞电气招聘简章,2021-12-22,90
华夏银行成都分行2022年校园招聘启事,2021-12-22,216
南方科技大学自动化学科青年学者论坛·2022,2021-12-22,60
大华股份2022届校招补招末班车,2021-12-21,215
湖南省融资担保集团2022校园招聘简章,2021-12-21,86
福州大学博士后科研流动站2022年人才招聘计划,2021-12-21,78
行业第一，宇通集团2022年应届毕业生管培生招聘简章,2021-12-21,104
武汉东湖学院高层次（高学历）人才招聘公告,2021-12-21,82
山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘,2021-12-21,69
南方科技大学第一附属医院医药健康科研团队博士后、研究助理及科研秘书招聘,2021-12-21,66
国家超级计算深圳中心2021年招聘简章,2021-12-21,90
中山大学软件工程学院2022年高层次人才招聘启事,2021-12-21,58
上海交通大学微纳工程科学重点实验室2021-2022年招聘简章,2021-12-21,55
澳门城市大学全職學術人員招聘,2021-12-21,64
安徽师范大学2021年度人才招聘公告,2021-12-21,56
浙江越秀外国语学院2021年高层次人才引进公告,2021-12-21,51
南方科技大学电子与电气工程系张宏课题组招收科研助理启事,2021-12-21,56
潍坊科技学院人才招聘,2021-12-21,60
南宁职业技术学院2021年第二批公开招聘工作人员公告,2021-12-20,91
"深圳大学食品科学与加工研究中吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",2021-12-20,56
台州学院高等研究院大数据智能医疗研究所招聘启事,2021-12-20,72
广州华夏职业学院2022年招聘公告,2021-12-20,77
西南医科大学2022年诚聘海内外英才,2021-12-20,79
深圳综合粒子设施研究院校园招聘公告,2021-12-20,82
桂林医学院2022年诚聘英才,2021-12-20,55
衢州职业技术学院高层次人才引进公告,2021-12-20,61
 浙江工业大学之江学院2021年高层次人才招聘公告,2021-12-20,69
南方科技大学电子与电气工程系实验教学类招聘启事,2021-12-20,62
烟台东方威思顿电气有限公司2022届校园招聘简章,2021-12-20,61
立德树人育桃李 砥砺前行谱新篇-潍坊医学院2021-2022年诚聘海内外优秀博士,2021-12-19,72
桂林理工大学2021年诚聘海内外人才,2021-12-19,99
广西师范大学2021年人才招聘公告,2021-12-19,84
中国科学院新疆理化技术研究所2021年人才招聘启事,2021-12-19,80
攀枝花学院2021年第五批直接考核招聘高层次人才公告,2021-12-18,90
行业第一，宇通集团2022年应届毕业生管培生招聘简章,2021-12-17,175
河北农业大学2022年选聘博士公告,2021-12-17,77
闽江学院2022下半年度硕士研究生岗位（编制内）招聘公告,2021-12-17,81
南通大学电气工程学院诚聘海内外英才,2021-12-17,66
中国科学院长春应用化学研究所2022年度招聘启事,2021-12-17,70
暨南大学附属第一医院最高年薪66万+招聘博士后,2021-12-17,60
广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告,2021-12-17,57
国科宁波生命与健康产业研究院2021年面向海内外诚聘高层次人才,2021-12-17,48
中国科学院成都文献情报中心2022年特别研究助理招聘启事,2021-12-17,100
内蒙古科技大学机械工程学院博（硕）士及高层次人才招聘,2021-12-17,54
国资委直管央企华录集团总部2022年校园招聘,2021-12-17,135
南方科技大学林志赟教授课题组招聘科研助理,2021-12-17,54
北京国望“科研、管理工程师”招募,2021-12-17,61
中国科学院成都文献情报中心2022年优秀人才招聘启事,2021-12-17,78
中共深圳市光明区委党校2022年1月公开选聘教师公告,2021-12-16,108
深圳大学-华中科技大学光子集成与光通信方向联合招聘博士后,2021-12-16,79
重庆邮电大学高层次人才招聘,2021-12-16,131
东南大学脑科学与智能技术研究院招聘启事,2021-12-16,82
绵阳仲裁委员会秘书处2022年度招聘公告,2021-12-16,102
山西工商学院2022年人才引进公告,2021-12-16,60
中国网安（含中国电科三十所）2022届秋招补录,2021-12-16,159
广东电网有限责任公司2022年博士后人员招聘启事,2021-12-16,134
中国石化大连石油化工研究院全球招聘人才公告,2021-12-15,92
中科南京智能技术研究院招聘简章,2021-12-15,145
济宁医学院附属医院2022年度公开招聘博士研究生公告,2021-12-15,63
中国久远高新技术装备有限公司2022招聘简章,2021-12-15,138
上海人工智能实验室招聘公告,2021-12-15,119
超星集团秋季校园招聘,2021-12-14,181
青岛大学青岛医学院2021年人才招聘公告,2021-12-14,72
2022威高（苏州）医疗器械研究院有限公司秋季招聘,2021-12-14,77
美国路易斯安那州立大学医学院招聘博士后,2021-12-14,71
中国石化上海石油化工研究院2021-2022年度人才招聘,2021-12-14,97
中国电子科技集团公司第十二研究所招聘,2021-12-14,267
中国工程物理研究院  研究生院诚聘英才,2021-12-14,159
剑阁县2021年公开引进高层次人才和招聘急需紧缺专业人才（剑阁县市场监督管理局）,2021-12-14,122
南方科技大学计算机科学与工程系2022年实验教学人员招聘启事,2021-12-14,72
鹏城实验室媒体与交互部2021年招聘人才引进专题,2021-12-14,68
西安建筑科技大学2021年教师招聘公告 ,2021-12-14,64
南方科技大学嘉兴研究院“智能电子装备创新中心”公开招聘研究人员,2021-12-14,59
青岛大学转化医学研究院高薪诚聘海内外优秀青年人才,2021-12-13,57
ASM先进科技2022校园招聘补录,2021-12-13,241
加入“浙”里 携手共进-绍兴文理学院2021-2022年诚聘海内外英才,2021-12-13,75
台州学院高等研究院——智能信息处理研究所招聘启事,2021-12-13,82
深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘,2021-12-13,55
重庆大学二级单位招聘项目管理人员,2021-12-13,103
2022年杭州市钱塘区党政储备 人才招聘公告,2021-12-13,75
广西电力职业技术学院2021年博士人才专项招聘公告,2021-12-13,85
烟台东方威思顿电气有限公司2022届校园招聘简章,2021-12-13,63
揽英才 金陵科技学院招才引智 诚邀您的加盟,2021-12-12,113
民航机场成都电子工程设计有限责任公司2022年校园招聘,2021-12-12,227
黄河科技学院招聘公告2021年黄河科技学院博士招聘公告,2021-12-11,107
成都纺织高等专科学校2022年人才招聘公告,2021-12-10,289
 岭南现代农业科学与技术广东省实验室植物生殖发育和大豆种质资源创新团队招聘公告,2021-12-10,63
暨南大学附属第一医院最高年薪66万+招聘博士后,2021-12-10,71
中国科学院长春应用化学研究所2022年度招聘启事,2021-12-10,74
香港中文大学（深圳）诚聘海内外优秀人才,2021-12-10,76
沈阳城投集团2022年“麒麟担当”校园招聘,2021-12-10,59
南通大学电气工程学院诚聘海内外英才,2021-12-10,60
闽江学院2022下半年度硕士研究生岗位（编制内）招聘公告,2021-12-10,65
河北农业大学2021年选聘博士公告,2021-12-10,42
